(02) F1ZQZ V;;link;145.250 MHz;123 Hz;JN19PT;F1BSR;3.291441;49.8201603
(02) F1ZRR V;;link;145.325 MHz;123 Hz;JN19TV;F1BSR;3.6302285;49.8934668
(02) F4GTT V;;link;145.3375 MHz;123 Hz;JN18QX;;3.3418391;48.9999351
(03) F5SHN V;;link;144.6625 MHz;103.5 Hz;JN16PN;;3.2640314;46.5575389
(06) F1ZSX V;;link;145.275 MHz;123 Hz;JN33NP;F1ATB;7.13044;43.6480035
(06) F5BLR H;;hotspot;145.300 MHz;79.7 Hz;JN33MW;;7.0022746;43.9466043
(06) F6FDY H;;hotspot;432.975 MHz;88.5 Hz;JN33OR;;7.2334437;43.7212653
(06) F6IMD R;;relais;430.025 MHz + 9.4 MHz;88.5 Hz;JN33NV;;7.1509481;43.8957262
(07) F1ZQJ R;;relais;433.075 MHz - 1.6 MHz;123 Hz;JN24JX;F4IGC;4.7961635;44.9652734
(09) F1BBG V;;link;144.975 MHz;71.9 Hz;JN02TU;;1.6046889;42.8515339
(09) F6DEV V;;link;144.950 MHz;71.9 Hz;JN02PX;;1.28414;42.9936061
(09) F6GZM V;;link;144,925 MHz;71.9 Hz;JN02VS;;1.7525988;42.7701667
(10) F1ZCU U;;relais;433.075 - 1.6MHz;123 Hz;JN18XH;F1GZH;3.9575236;48.3092465
(11) F1QM 10M;;divers;29.110 MHz;71.9 Hz;JN13ND;;3.1552262;43.1582971
(11) F1ZCZ V;;link;145.325 MHz;250.3 Hz;JN13NE;F1QM;3.1238182;43.1747948
(11) F1ZPH V;;link;145.550 MHz;250.3 Hz;JN13EF;F4HSQ;2.3504168;43.2149097
(12) F1LRZ H;;hotspot;144.975 MHz;71.9 Hz;JN14MC;;3.0459212;44.09871
(12) F5BLC U;;intermittent;431.500 MHz;71.9 Hz;JN14AI;;2.0351047;44.3530017
(12) F5GJG H;;hotspot;432.975 MHz;71.9 Hz;JN14MC;;3.0791797;44.0994098
(12) F5ZGE V;;link;144.6375 MHz;71.9 Hz;JN14GI;F5FPI;2.5817577;44.3553941
(12) F8NHA H;;hotspot;144.975 MHz;71.9 Hz;JN14JE;;2.7909604;44.1802592
(13) F1SVV H;;hotspot;432.975 MHz;71.9 Hz;JN23NP;;5.1104955;43.6253391
(13) F1ZLC V;;link;145.300 MHz;71.9 Hz;JN23MN;F4HJA;5.0354732;43.5490339
(13) F5ZRJ V;;link;144.925 MHz;123 Hz;JN23PM;F5RIJ;5.2554436;43.523536
(15) F5KHC T;;relais;145.225 MHz & 430.175 MHz;151.4 Hz;JN14GV;F6IOJ;2.554493;44.9036115
(16) F0EQJ H;;hotspot;144.950 MHz;77 Hz;JN05BO;;0.0997943;45.606522
(16) F0EZT H;;hotspot;144.925 MHz;71.9 Hz;JN05BQ;;0.1263629;45.6741019
(16) F1UGC V;;intermittent;145.3625 MHz;179.9 Hz;IN95WM;;-0.1110273;45.5131062
(16) F1ZSQ V;;link;145.275 MHz;77 Hz;JN05CU;F1DXP;0.1754;45.8521578
(17) F1ZRT V;;link;145.350 MHz;162.2 Hz;IN95LO;F4HES;-1.0093475;45.5990838
(17) F4AYW H;;hotspot;434.950 MHz;71.9 Hz;IN95OQ;;-0.78043;45.700341
(17) F5NXG V;;link;144.625 MHz;136.5 Hz;IN95TG;;-0.4092694;45.2839778
(17) F6FOH V;;link;145.300 MHz;159.8 Hz;IN96JE;;-1.1918242;46.1877449
(17) F9SV H;;hotspot;432.975 MHz;71.9 Hz;IN96LB;;-1.0496859;46.078652
(18) F1FHL V;;link;145.4125 MHz;71.9 Hz;JN17FL;;2.4492808;47.4837701
(18) F4HSN V;;link;144.6125 MHz;94.8 Hz;JN17JG;;2.7583101;47.2570425
(18) F5BRI H;;hotspot;431.300 MHz;71.9 Hz;JN17GG;;2.5789833;47.2834081
(18) F5NAK V;;link;145.3625 MHz;94.8 Hz;JN17CD;;2.227005;47.1651119
(19) F4IFA H;;hotspot;438.000 MHz;71.9 Hz;JN05WH;;1.8479281;45.3046034
(19) F5ZRF V;;link;145.350 MHz;88.5 Hz;JN05UH;F6JON;1.6978975;45.3127794
(22) F1NWT H;;hotspot;432.975 MHz;71.9 Hz;IN88LT;;-3.0298268;48.8016356
(22) F1ZNW R;;relais;430.4375 + 9.4MHz;71.9 Hz;IN88RN;F1BSR;-2.5349236;48.5582048
(22) F1ZQP R;;relais;438.775 MHz - 7.6 MHz;71.9 Hz;IN88IE;F4VSJ;-3.2686016;48.1862914
(22) F1ZQQ V;;link;145.350 MHz;71.9 Hz;IN88NO;F4GGU;-2.8815079;48.6059008
(22) F1ZRQ V;;link;145.250 MHz;71.9 Hz;IN88RN;F1BSR;-2.5348577;48.5581453
(22) F1ZSC V;;link;145.4125 MHz;71.9 Hz;IN88MJ;F1RGC;-2.9711055;48.3791835
(22) F2PI H;;hotspot;434.975 MHz;71.9 Hz;IN88JT;;-3.2392308;48.7974685
(22) F4VSJ 6M;;link;50.540 MHz;71.9 Hz;IN88IE;;-3.2687599;48.1862932
(22) F4VSJ U;;hotspot;430.5375 MHz;71.9 Hz;IN88IE;;-3.2687599;48.1862932
(22) F5NLG H;;hotspot;434.975 MHz;71.9 Hz;IN88HN;;-3.3977997;48.5434084
(22) F5ZIN T10M;;relais;29.130 MHz , 430.400 MHz + 9.4 MHz;71.9 Hz;IN88GN;F5NLG;-3.4641078;48.5562467
(22) F5ZIN V;;link;145.400 MHz;71.9 Hz;IN88GN;F5NLG;-3.4641629;48.5561579
(22) F5ZMU U;;link;432.975 MHz;71.9 Hz;IN88KN;F6HRP;-3.1259537;48.5611587
(22) F6FQB H;;hotspot;430.975 MHz;71.9 Hz;IN88OL;;-2.7513466;48.4841149
